grade,balance,count,newWk,netWk,churn,margin,legalCostRate,contractCreditRate,contractOpRate,creditGapRate,opGapRate,nonIntRate,elasticity,newCustRatio
1등급,3690.9,316,85.1,73.2,25.7,4.14,-0.4,-0.45,-0.6,-0.76,0.09,-0.02,2.15,19.4
2등급,7061.4,512,128.2,73.3,23.4,4.49,-0.4,-0.74,-0.58,-0.6,0.06,0,1.44,20.2
3등급,4653.9,224,48,3.6,23.7,5.11,-0.4,-1.31,-0.58,-0.91,0.05,0.08,0.5,24.8
4등급,1895.3,143,32.7,17.3,23.7,5.63,-0.4,-1.85,-0.59,-1.59,0.05,0.45,0.91,31.3
5등급,706.6,64,10.6,21.8,21.1,6.25,-0.39,-2.29,-0.61,-7.8,0.13,0.15,0.8,33.1
6등급,321.3,15,2.6,7.6,29.2,7.43,-0.39,-3.25,-0.62,-2.8,0.15,1.08,0.6,20.5
7등급,167.7,0,0,5.9,0,8.03,-0.41,-4.42,-0.6,5.51,0.13,1.94,0.4,0
